"Variable","Coefficient"
"(Intercept)",381.366071428571
"Macrophages_M2",-54.5397953036844
"naive_Bcells",48.9788534928607
"NKT",-39.9120375576614
"Neurons",-34.976015843169
"HSC",29.1388021530836
"Platelets_x_Keratinocytes",28.8738281007649
"MPP",-27.706010317269
"Mast_cells",11.5099969815607
"Plasma_cells",7.78528574683334
"Macrophages",-2.23110977835637
"Eosinophils",0
