"Model","Train_Correlation","Train_RMSE","Train_MAE","Train_R2","Test_Correlation","Test_RMSE","Test_MAE","Test_R2","Overfitting_Score"
"Ridge_High",0.509566710349267,252.804808096454,186.168859440271,0.259658232296174,-0.430407472699358,471.71795450672,313.825004787098,0.185250592555448,0.0744076397407258
"Elastic_High",0.500806549969564,257.223728080137,188.963310023278,0.250807200492418,-0.42388745669856,450.527411124469,291.387267290572,0.179680575946374,0.0711266245460438
"SVR_High",0.766114429197213,202.346969819831,128.190550627771,0.586931318624171,-0.3886929297276,473.476236630989,325.513975524887,0.151082193620225,0.435849125003946
"Lasso_High",0.47962153130331,270.277866382599,199.205491574276,0.230036813289732,-0.29410644137407,417.258626020751,262.578776130009,0.0864985988577196,0.143538214432012
"Lasso_Medium",0.508389928236809,265.673088054029,193.804152012589,0.258460319132628,-0.243347685439653,419.501676978364,267.592936316332,0.0592180960088364,0.199242223123792
"Elastic_Medium",0.643698994736827,230.195313430346,166.974011517464,0.414348395825201,-0.156715703458821,460.233026887132,319.553391759126,0.0245598117105932,0.389788584114608
"Ridge_Medium",0.659481897533439,222.432639377996,160.847632060891,0.434916373174305,-0.149417458916804,483.984392158186,343.682769641727,0.0223255770291547,0.412590796145151
"SVR_Medium",0.673038516362378,244.654261817432,160.788991659704,0.452980844507272,0.00900617861626316,404.914752703482,246.644310713892,8.11112532680358e-05,0.452899733254004
