"Model","Train_Correlation","Train_RMSE","Train_MAE","Train_R2","Test_Correlation","Test_RMSE","Test_MAE","Test_R2","Overfitting_Score"
"Lasso_Improved",0.568849565335032,220.088624633128,175.93853172034,0.323589827981855,-0.268182382021162,297.170184370649,239.493249050335,0.0719217900265444,0.251668037955311
"Elastic_Improved",0.58163788173601,216.414590323388,173.668286478271,0.338302625470352,-0.209206644149531,297.5959275487,240.365270609052,0.0437674199563085,0.294535205514044
"Ridge_Improved",0.596021205233887,210.006492139448,168.528707317752,0.355241277088455,-0.168400109003719,325.439086596728,264.577435646442,0.0283585967124644,0.32688268037599
"RF_Improved",0.980072602185359,116.934970293432,94.4462394019273,0.960542305554382,-0.0409283102887947,254.53025531012,207.773083156463,0.00167512658309586,0.958867178971286
"SVR_Improved",0.841239392812309,169.747953641577,117.3293621519,0.707683716019222,0.0318391331749618,254.583014490216,209.745332233047,0.00101373040133295,0.706669985617889
